date	open	close	high	low	volume	money
2005-01-04	0.76	0.76	0.77	0.75	740296.0	565341.0
2005-01-05	0.77	0.77	0.79	0.76	1348102.0	1039622.0
2005-01-06	0.77	0.77	0.77	0.77	818466.0	628738.0
2005-01-07	0.76	0.78	0.8	0.76	2081400.0	1633972.0
2005-01-10	0.78	0.79	0.79	0.77	1059107.0	833303.0
2005-01-11	0.78	0.78	0.79	0.78	839157.0	656242.0
2005-01-12	0.78	0.78	0.79	0.78	639995.0	501874.0
2005-01-13	0.78	0.78	0.79	0.77	775244.0	608180.0
2005-01-14	0.78	0.77	0.79	0.77	913828.0	711836.0
2005-01-17	0.77	0.75	0.77	0.74	1633858.0	1235491.0
2005-01-18	0.75	0.76	0.76	0.75	1650447.0	1242001.0
2005-01-19	0.76	0.76	0.79	0.75	950106.0	732328.0
2005-01-20	0.75	0.74	0.75	0.74	1246277.0	926156.0
2005-01-21	0.74	0.75	0.76	0.72	2533004.0	1864122.0
2005-01-24	0.77	0.76	0.78	0.76	1694464.0	1294932.0
2005-01-25	0.76	0.75	0.76	0.74	1198486.0	893166.0
2005-01-26	0.74	0.73	0.75	0.73	1225023.0	904163.0
2005-01-27	0.73	0.73	0.77	0.73	1560999.0	1155721.0
2005-01-28	0.73	0.73	0.74	0.72	1193190.0	865474.0
2005-01-31	0.73	0.66	0.73	0.66	4931376.0	3316816.0
2005-02-01	0.66	0.64	0.67	0.64	1936519.0	1264184.0
2005-02-02	0.65	0.68	0.68	0.64	3524411.0	2345040.0
2005-02-03	0.68	0.65	0.69	0.65	1945657.0	1302940.0
2005-02-04	0.65	0.67	0.67	0.65	1916321.0	1277513.0
2005-02-16	0.69	0.68	0.69	0.66	1751818.0	1185256.0
2005-02-17	0.67	0.68	0.68	0.66	1320412.0	883316.0
2005-02-18	0.67	0.67	0.67	0.66	974091.0	650476.0
2005-02-21	0.67	0.68	0.68	0.66	1850487.0	1242788.0
2005-02-22	0.68	0.7	0.71	0.67	3840806.0	2658808.0
2005-02-23	0.7	0.73	0.75	0.7	6107497.0	4476092.0
2005-02-24	0.73	0.73	0.73	0.71	3006438.0	2172037.0
2005-02-25	0.73	0.73	0.74	0.72	2548015.0	1859345.0
2005-02-28	0.72	0.72	0.73	0.71	1719533.0	1234025.0
2005-03-01	0.71	0.71	0.72	0.7	1540527.0	1091954.0
2005-03-02	0.71	0.7	0.72	0.7	1602629.0	1145626.0
2005-03-03	0.7	0.7	0.71	0.7	1686053.0	1184784.0
2005-03-04	0.71	0.71	0.72	0.7	1825062.0	1301193.0
2005-03-07	0.71	0.71	0.72	0.7	1483337.0	1050307.0
2005-03-08	0.71	0.73	0.73	0.71	2043351.0	1468310.0
2005-03-09	0.73	0.73	0.74	0.72	3705804.0	2702216.0
2005-03-10	0.73	0.7	0.73	0.7	2165181.0	1554277.0
2005-03-11	0.7	0.7	0.71	0.7	2045080.0	1438298.0
2005-03-14	0.7	0.69	0.71	0.68	2503284.0	1739897.0
2005-03-15	0.69	0.68	0.69	0.67	1981840.0	1355008.0
2005-03-16	0.68	0.67	0.68	0.67	1714991.0	1154032.0
2005-03-17	0.72	0.74	0.74	0.7	12818627.0	9410775.0
2005-03-18	0.73	0.71	0.73	0.7	10070998.0	7239749.0
2005-03-21	0.71	0.69	0.71	0.69	4408505.0	3083456.0
2005-03-22	0.69	0.72	0.73	0.69	11531791.0	8267459.0
2005-03-23	0.72	0.75	0.75	0.7	11528333.0	8427336.0
2005-03-24	0.74	0.75	0.76	0.73	7473285.0	5580110.0
2005-03-25	0.75	0.73	0.75	0.73	4249092.0	3125212.0
2005-03-28	0.73	0.72	0.74	0.7	5016845.0	3571350.0
